Name,Region,Region:Regional Alentejo,Region:DOC Douro,Region:DOC Alentejo,Region:Regional Península de Setúbal,Region:Espanha,Year,Color,Color:Red,Color:White,Color:Rosé,Castes,AlcoholPercentage,Producer,Producer:Esporão S.A.,"Producer:José Maria da Fonseca Vinhos, S.A.","Producer:João Portugal Ramos - Vinhos, SA",Producer:Ramos Pinto,MinimunPrice,MaximumPrice,Average Price,Average Price in Dollars,Judge,Judge:Domingos Soares Franco,Judge:João Portugal Ramos,Judge:João Nicolau de Almeida,Judge:David Baverstock e Sandra Alves,Judge:David Baverstock e Luís Patrão,JudgeRating
Duas Quintas Reserva 2001,DOC Douro,0,1,0,0,0,2001,Red,1,0,0,Touriga Nacional e Tinta Barroca,14,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,18
Duas Quintas Reserva 2011,DOC Douro,0,1,0,0,0,2011,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta Barroca",14.5,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17.5
Duas Quintas Reserva 2014,DOC Douro,0,1,0,0,0,2014,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta da Barca",15,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17.5
Duas Quintas Reserva Especial 2007,DOC Douro,0,1,0,0,0,2007,Red,1,0,0,Vinhas Velhas,15,Ramos Pinto,0,0,0,1,75,100,87.5,102.375,João Nicolau de Almeida,0,0,1,0,0,17.5
Esporão Private Selection Garrafeira 2009,DOC Alentejo,0,0,1,0,0,2009,Red,1,0,0,"Alicante Bouschet, Aragonês e Syrah",14.5,Esporão S.A.,1,0,0,0,25,50,37.5,43.875,David Baverstock e Luís Patrão,0,0,0,0,1,17.5
Hexagon 2009,Regional Península de Setúbal,0,0,0,1,0,2009,Red,1,0,0,"Touriga Nacional, Touriga Franca, Syrah, Trincadeira, Tinto Cão e Tannat",14,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,25,50,37.5,43.875,Domingos Soares Franco,1,0,0,0,0,17.5
J de José de Sousa 2011,Regional Alentejo,1,0,0,0,0,2011,Red,1,0,0,"Grand Noir, Touriga Franca e Touriga Nacional",14,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,25,50,37.5,43.875,Domingos Soares Franco,1,0,0,0,0,17.5
João Portugal Ramos Estremus 2011,DOC Alentejo,0,0,1,0,0,2011,Red,1,0,0,Alicante Bouschet e Trincadeira,14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,75,50,62.5,73.125,João Portugal Ramos,0,1,0,0,0,17.5
Marquês de Borba Reserva 2003,DOC Alentejo,0,0,1,0,0,2003,Red,1,0,0,"Trincadeira, Aragonês, Alicante Bouschet e Cabernet Sauvignon",14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,25,50,37.5,43.875,João Portugal Ramos,0,1,0,0,0,17.5
Marquês de Borba Reserva 2011,DOC Alentejo,0,0,1,0,0,2011,Red,1,0,0,"Trincadeira, Aragonês, Alicante Bouschet e Cabernet Sauvignon",14.5,"João Portugal Ramos - Vinhos, SA",0,0,1,0,25,50,37.5,43.875,João Portugal Ramos,0,1,0,0,0,17.5
Domini Plus 2011,DOC Douro,0,1,0,0,0,2011,Red,1,0,0,"Touriga Franca, Tinta Roriz e Touriga Nacional",14,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,25,50,37.5,43.875,Domingos Soares Franco,1,0,0,0,0,17
Duas Quintas Reserva 2003,DOC Douro,0,1,0,0,0,2003,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta Barroca",14,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2005,DOC Douro,0,1,0,0,0,2005,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta Barroca",14,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2008,DOC Douro,0,1,0,0,0,2008,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta Barroca",15,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2010,DOC Douro,0,1,0,0,0,2010,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta Barroca",14,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2012,DOC Douro,0,1,0,0,0,2012,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta da Barca",14,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2013,DOC Douro,0,1,0,0,0,2013,Red,1,0,0,"Touriga Nacional, Touriga Franca e Tinta da Barca",14.5,Ramos Pinto,0,0,0,1,20,25,22.5,26.325,João Nicolau de Almeida,0,0,1,0,0,17
Duas Quintas Reserva 2014,DOC Douro,0,1,0,0,0,2014,White,0,1,0,"Rabigato, Viosinho, Arinto e Folgasão",13,Ramos Pinto,0,0,0,1,15,20,17.5,20.475,João Nicolau de Almeida,0,0,1,0,0,17
